idx_desempleo,idx_habitat,idx_educacion,idx_riesgo_clima,idx_pobreza,idx_tejido_social,año_normalizado,Comuna,Año
-0.016099446,-0.016853997,-0.024928221,0.0,-0.028009681,-0.019537263,-4.174881e-05,Guayabal,2013
-0.0033108776,-0.008803079,-0.032044448,0.0,-0.0100410795,-0.03653854,-0.0006518127,La America,2013
-0.020180328,-0.01763937,-0.0114044165,0.0,-0.04218404,0.0042903824,-7.2045885e-05,La América,2013
0.0067157485,-0.011104219,-0.02987373,0.0,-0.033174813,-0.030742655,-0.00030384306,La Candelaria,2013
-0.006930381,-0.021286445,-0.028851647,0.0,-0.054487597,-0.0561456,-0.00040763375,Laureles Estadio,2013
0.00799319,0.037620608,0.0053152903,0.0,0.05333226,0.032106895,-3.9692288e-05,Manrique,2013
-0.002195691,-0.012262105,-0.03936934,0.0,-0.0099452445,0.037257146,0.00032933903,Palmitas,2013
0.017175656,0.046359327,0.0068935193,0.0,0.06390835,0.046606567,0.0007289216,Popular,2013
0.00083784893,-0.008803086,0.001830868,0.0,-0.010704483,0.011332975,-0.00030934883,Robledo,2013
0.0095225135,-0.008220948,-0.012053488,0.0,-0.0074185077,0.007403468,-0.00026907434,San Antonio de Prado,2013
-0.0008644538,-0.008684448,-0.021673623,0.0,-0.0068327826,0.024391428,-0.00028635733,San Cristobal,2013
-0.0015942828,0.008629521,-0.010024597,0.0,0.015604207,0.005579923,-8.646695e-05,San Javier,2013
0.009846905,0.024083024,-0.017535863,0.0,0.049920015,0.029341534,-7.74671e-05,Santa Cruz,2013
0.0080277985,-0.009206059,-0.036096692,0.0,-0.007878239,0.015301564,-5.1593015e-05,Santa Elena,2013
0.0040553818,0.031552937,0.0010505748,0.0,0.017857077,0.003200433,-9.450067e-05,Villa Hermosa,2013
0.00853355,-0.009158067,-0.032135457,0.0,-0.00741639,0.019170668,-0.00043312882,Altavista,2014
0.009806175,0.009746314,-0.00020512122,0.0,0.015826583,-0.00016744097,-0.0002638105,Aranjuez,2014
-0.0033287269,-0.0087331915,0.0019303623,0.0,-0.008071596,-0.027051082,-0.00061518373,Belen,2014
-0.0012406833,-0.011128233,-0.01038543,0.0,-0.032918464,0.004372874,-0.00010694698,Belén,2014
-0.0067388644,-0.0048054215,-0.016346917,0.0,-0.011323465,-0.01377286,-0.0003719355,Buenos Aires,2014
-0.010694424,-0.0159575,-0.012477062,0.0,-0.026898753,-0.0009991167,-0.0001235823,Castilla,2014
0.002762055,-0.006427286,-0.0059378343,0.0,0.034034617,-0.0028461588,0.0001441536,Corregimiento de Altavista,2014
-0.002314673,-0.008173548,-0.00014139018,0.0,-0.030541597,0.0040102247,-0.00011401262,Corregimiento de San Antonio de Prado,2014
0.0015230619,-0.0071838116,-0.0014408871,0.0,0.029993609,-0.0043163234,0.0001441536,Corregimiento de San Cristóbal,2014
-0.0005291637,0.040515594,-0.0003406963,0.0,0.062632844,-0.0045895544,1.0584767e-05,Corregimiento de San Sebastián de Palmitas,2014
-0.002555287,0.042507812,-0.0032686598,0.0,0.06397089,-0.0023111668,1.5809414e-05,Corregimiento de Santa Elena,2014
0.0011398623,-0.009989982,0.006529421,0.0,0.021106215,0.002112223,-0.00018847806,Doce de Octubre,2014
0.0010780169,-0.008665546,-0.001856573,0.0,-0.007083957,0.001931215,-0.00037649565,Doce de octubre,2014
-0.010567097,-0.021260316,-0.029052489,0.0,-0.057944622,-0.05954035,-0.00027779743,El Poblado,2014
-0.020510798,-0.01046969,-0.024655472,0.0,-0.03670117,-0.021134267,-0.00011221173,Guayabal,2014
-0.003273263,-0.00933077,-0.031187352,0.0,-0.010309894,-0.035091296,-0.0006912314,La America,2014
-0.022226341,-0.017516121,-0.011026626,0.0,-0.03554908,0.0042678164,-6.1970924e-05,La América,2014
0.006814702,-0.011227703,-0.03131704,0.0,-0.035366368,-0.027538244,-0.0002746853,La Candelaria,2014
