Comuna,Año,idx_desempleo,idx_habitat,idx_educacion,idx_riesgo_clima,idx_pobreza,idx_tejido_social,ivc
Buenos Aires,2012,0.4159335011106813,0.03820728811167517,0.34677386628505136,0.5,0.20017129826011593,0.3402177675611626,0.28932794933248845
Buenos Aires,2013,0.42764796617520273,0.046446063806710784,0.23332780176671167,0.5,0.17661527409481256,0.3402177675611626,0.2680463406190183
Buenos Aires,2014,0.41019167820688435,0.08529517402089874,0.22762862769771758,0.5,0.26819445764264016,0.30659358477703536,0.28143700406275934
Buenos Aires,2015,0.5145809085990974,0.02839545988586995,0.2351878329985043,0.5,0.19927052881881363,0.258464754047388,0.2701635426090315
Buenos Aires,2016,0.40294276989698746,0.023835680101075913,0.2087658970272092,0.5,0.2179657237726593,0.31148275868368647,0.2572714235421124
Buenos Aires,2017,0.4420883558279289,0.043786802696166575,0.22369281687766976,0.5,0.26695939788388584,0.3047293261063745,0.2784103089803683
Buenos Aires,2018,0.4233549432464374,0.025463723822496148,0.21629616335941157,0.5,0.09414366802977314,0.28924944371068245,0.23609235312160015
Buenos Aires,2019,0.5007021779815574,0.05086037008280463,0.21104914422939267,0.5,0.20934029717337677,0.31978690144780114,0.2803161619845332
Buenos Aires,2020,0.4760004388050011,0.05086037008280463,0.21104914422939267,0.5,0.20934029717337677,0.31978690144780114,0.27582493667970476
Buenos Aires,2021,0.4989131021884011,0.05377669291888857,0.4784838690634722,0.5,0.1891531974433268,0.5406609366807515,0.36563414514451636
Buenos Aires,2022,0.5059029146150666,0.051168819648644163,0.47769004749870136,0.5,0.22514222301496709,0.5213222982626692,0.3693138732800088
Buenos Aires,2023,0.3882821790417864,0.07031155230500272,0.489946539306501,0.5,0.16229782968868828,0.48590512341957637,0.3357714952293736
Buenos Aires,2024,0.4700747214194424,0.07031155230500272,0.489946539306501,0.5,0.3065630291103889,0.4847044455653844,0.3766545977648581
Castilla,2007,0.3270876000163353,0.029347997142027175,0.5128151805338247,0.5,0.36949508596378056,0.41097995523871067,0.345404694344487
Castilla,2008,0.3270876000163353,0.029347997142027175,0.5026086128596099,0.5,0.36949508596378056,0.41097995523871067,0.343548954767357
Castilla,2009,0.3270876000163353,0.029347997142027175,0.43430268335259564,0.5,0.36949508596378056,0.41097995523871067,0.3311296948569908
Castilla,2010,0.3270876000163353,0.029347997142027175,0.42049933467473993,0.5,0.36949508596378056,0.41097995523871067,0.32861999509738066
Castilla,2011,0.36855572639254264,0.0362830958811028,0.38150120363890005,0.5,0.22464040147971998,0.41097995523871067,0.30399279684199565
Castilla,2012,0.36848196869627936,0.03931247107787781,0.3716678096731898,0.5,0.26356552539382266,0.41097995523871067,0.30981958728725095
Castilla,2013,0.3542496386171202,0.052977075450669486,0.24150248213877248,0.5,0.17743383232993948,0.41097995523871067,0.270389633413675
Castilla,2014,0.38061506782695276,0.030686721347880808,0.23244452764993198,0.5,0.21084308650812,0.3583880877814342,0.26599590747533086
Castilla,2015,0.4794767613200439,0.037422187011679806,0.2736989347887972,0.5,0.21675011913302525,0.2170559834246835,0.2680734519414963
Castilla,2016,0.404284916807118,0.030775142043895233,0.2156766942359368,0.5,0.10616431923377767,0.3775213328547815,0.25171316457736537
Castilla,2017,0.42579998254739376,0.03368347388056022,0.2427172403382932,0.5,0.2533471996172729,0.3551288028523539,0.28375939986106796
Castilla,2018,0.4838469625181376,0.04567117572461278,0.2300264038357889,0.5,0.2449496172276402,0.35655902370971404,0.2929187605483443
Castilla,2019,0.42506634307982716,0.03583271989334041,0.2131266146814914,0.5,0.16673716210464481,0.3205898110756099,0.2566095728790752
Castilla,2020,0.49032867393178226,0.03583271989334041,0.2131266146814914,0.5,0.16673716210464481,0.3205898110756099,0.2684754512157943
Castilla,2021,0.5315023541078672,0.03487597006510887,0.46271577029571115,0.5,0.12643413134872286,0.49678447471896037,0.34587503646115825
Castilla,2022,0.4396166835912181,0.02226368353088365,0.45802828492647935,0.5,0.11082798017685566,0.5750043348504326,0.337407448559249
Castilla,2023,0.4065751337018272,0.05072089155657765,0.46172497247670213,0.5,0.2791525659326393,0.4979809176736866,0.353846269334806
Castilla,2024,0.43994021524065974,0.05072089155657765,0.46172497247670213,0.5,0.18853752616342118,0.44080718016413356,0.3330419610184535
Corregimiento de Altavista,2010,0.40479561015259946,0.23721011517995125,0.33490177248339237,0.5,0.7424717944454092,0.4036049053648597,0.43145167229567494
Corregimiento de Altavista,2011,0.46411431390372837,0.44234169645298194,0.3116968311976871,0.5,0.8669690250653103,0.4036049053648597,0.4979503221790123
Corregimiento de Altavista,2012,0.48111932161778526,0.16695007534548656,0.3074358761057821,0.5,0.6975086406980104,0.4036049053648597,0.4193852398421681
Corregimiento de Altavista,2013,0.4653188103078854,0.09209936358757324,0.3025724553800457,0.5,0.7363844863817202,0.4036049053648597,0.4090872765494699
Corregimiento de Altavista,2014,0.4684087303842906,0.07709955158927694,0.2951262538200184,0.5,0.48860216711176346,0.4036049053648597,0.3605166560491289
Corregimiento de Altavista,2015,0.4786113127759886,0.13759629986146982,0.30372851023647846,0.5,0.5661752700550845,0.4036049053648597,0.38903932696252386
Corregimiento de Altavista,2016,0.4276354565052438,0.09543333940137792,0.30324763902214336,0.5,0.3568987239875626,0.4036049053648597,0.33396728441476137
Corregimiento de Altavista,2017,0.4587735481593681,0.11995948638719554,0.29901256667154696,0.5,0.35228846437278827,0.4036049053648597,0.342479812901047
Corregimiento de Altavista,2018,0.47039511926072786,0.1073362849236383,0.31193723495679315,0.5,0.4672713055218211,0.4036049053648597,0.3655536090959709
Corregimiento de Altavista,2019,0.4547156537499536,0.16178905672707927,0.29392016051346453,0.5,0.5187017483796422,0.4036049053648597,0.3786784590427272
Corregimiento de Altavista,2021,0.45816422947871926,0.18687382376712613,0.29946249260792385,0.5,0.4329133449048621,0.4036049053648597,0.36927614474972564
Corregimiento de Altavista,2022,0.43631103550408223,0.09728193807663377,0.2882636012809548,0.5,0.08998109420838246,0.4036049053648597,0.28462592262452957
Corregimiento de Altavista,2023,0.4725348847031181,0.09805740846290037,0.30606472777593524,0.5,0.33341406559923337,0.4036049053648597,0.33885018034655395
Corregimiento de Altavista,2024,0.4725348847031181,0.09805740846290037,0.30606472777593524,0.5,0.2802424966637347,0.4036049053648597,0.3291826223582815
Corregimiento de San Antonio de Prado,2010,0.37630974736894035,0.08976743016785518,0.3272707108224497,0.5,0.3234888061746524,0.4036049053648597,0.32189847270886496
Corregimiento de San Antonio de Prado,2011,0.4295825134975827,0.07614304496341878,0.30047202818424934,0.5,0.2662244851709881,0.4036049053648597,0.31382308676019977
Corregimiento de San Antonio de Prado,2012,0.43205286022716893,0.08052556021129699,0.2975934277289102,0.5,0.30360495326714004,0.4036049053648597,0.3213421285089774
Corregimiento de San Antonio de Prado,2013,0.4283292425849212,0.1184620706444668,0.30090385821931037,0.5,0.2677446516658492,0.4036049053648597,0.32164449608716494
Corregimiento de San Antonio de Prado,2014,0.43714474750399956,0.0687677811252284,0.29371259473601097,0.5,0.16981799587229265,0.4036049053648597,0.2950996408367984
Corregimiento de San Antonio de Prado,2015,0.4691717568252821,0.07113324414083044,0.2974225859699705,0.5,0.2569081989022831,0.4036049053648597,0.31786194385513195
Corregimiento de San Antonio de Prado,2016,0.4057765818136406,0.06665126900299806,0.29806356983418575,0.5,0.22468140099034262,0.4036049053648597,0.29977776854655036
Corregimiento de San Antonio de Prado,2017,0.43201217934321995,0.06928611686488938,0.29987739547239667,0.5,0.3273141071484221,0.4036049053648597,0.32401721894432506
Corregimiento de San Antonio de Prado,2018,0.4004862555079405,0.07325971178421398,0.29160781764922206,0.5,0.12535704625810534,0.4036049053648597,0.28078467937533486
Corregimiento de San Antonio de Prado,2019,0.4079559097865746,0.05862689331756771,0.28417703957447016,0.5,0.11861090447249867,0.4036049053648597,0.27690466409381287
